names,province,addresses,counts,points
日升昌票号,山西,山西省晋中市平遥县西大街38号,22,"112.190122,37.21148"
石膏山,山西,山西省晋中市灵石县南关镇峪口村,4,"111.922683,36.747685"
禹王洞,山西,山西省忻州市忻府区禹王洞景区,44,"112.833218,38.310672"
苏三监狱,山西,山西省临汾市洪洞县,12,"111.681114,36.259882"
后沟古村落,山西,山西省晋中市榆次区东赵乡,36,"112.919302,37.761657"
娘子关,山西,山西省阳泉市平定县娘子关镇娘子关村,12,"113.886837,37.971435"
广化寺,山西,山西省忻州市五台县五台山景区内,154,"113.606014,39.020132"
山西海立方海洋公园,山西,山西省晋中市榆次区定阳路汇通风情商业广场,14,"112.737136,37.738986"
响沙湾,内蒙古,内蒙古鄂尔多斯市达拉特旗响沙湾景区,92,"109.968018,40.249002"
鄂尔多斯野生动物园,内蒙古,内蒙古鄂尔多斯东胜铁西区三园路1号,218,"109.897155,39.845437"
神泉生态旅游景区,内蒙古,内蒙古呼和浩特市托克托县旧城郝家窑村,20,"111.224949,40.192416"
美岱召,内蒙古,内蒙古自治区包头市土默特右旗美岱召镇110国道北面,46,"110.716041,40.610486"
大召寺,内蒙古,内蒙古呼和浩特市玉泉区大召前街大召寺,338,"111.660429,40.80594"
玉龙沙湖,内蒙古,内蒙古赤峰市翁牛特旗乌丹镇布日敦嘎查境内,34,"119.039915,43.041299"
鄂尔多斯草原旅游区,内蒙古,内蒙古鄂尔多斯杭锦旗锡尼镇西南9公里处,4,"108.634832,39.817608"
七星湖沙漠风景区,内蒙古,内蒙古省鄂尔多斯市杭锦旗独贵塔拉镇,10,"108.353845,40.706882"
五当召,内蒙古,内蒙古省包头石拐区青五线五当沟,64,"110.320996,40.797434"
